TRUNK-2,24
LEAF-1,25
LEAF-2,26
RDP,27
IRTP,28
ISO-TP4,29
NETBLT,30
MFE-NSP,31
MERIT-INP,32
DCCP,33
3PC,34
IDPR,35
XTP,36
DDP,37
IDPR-CMTP,38
TP++,39
IL,40
IPv6,41
SDRP,42
IPv6-Route,43
IPv6-Frag,44
IDRP,45
RSVP,46
GRE,47
DSR,48
BNA,49
ESP,50
AH,51
I-NLSP,52
SWIPE-(deprecated),53
NARP,54
MOBILE,55
TLSP,56
SKIP,57
IPv6-ICMP,58
IPv6-NoNxt,59
IPv6-Opts,60
CFTP,62
SAT-EXPAK,64
KRYPTOLAN,65
RVD,66
IPPC,67
SAT-MON,69
VISA,70
IPCV,71
CPNX,72
CPHB,73
WSN,74
PVP,75
BR-SAT-MON,76
SUN-ND,77
WB-MON,78
WB-EXPAK,79
ISO-IP,80
SECURE-VMTP,80
VMTP,80
MYSQL,3306
